arch,norm,dataset,method,candidate,seed,clean,aa,evidence,source_sha256
wrn,L2,cifar100,Ours,n03,0,70.17,42.45,training_and_full_aa_checked,421bbe967c447ca337e9786b1332a460a4eecb5bcd1a78892af4384981d11b97
wrn,L2,cifar100,Ours,n03,1,71.0,42.16,training_and_full_aa_checked,e686db3a4f3cac8a710ed60c34a0cc565c2a03efa51029062a0026f915e754a6
wrn,L2,cifar100,Ours,n03,2,71.09,42.07,training_and_full_aa_checked,c8697ee7108403e7f8cd41dd588ada403d4f88ef193c44cebccd5ae1b3785bb6
wrn,L2,tinyimagenet,Ours,e15w207,0,66.43,46.75,training_and_full_aa_checked,857fda0138088ba21467ffa4356dfc5dcd57fb2b20614ba2661e99583f3f1fc5
wrn,L2,tinyimagenet,Ours,e15w207,1,66.7,46.53,training_and_full_aa_checked,4a4012ff0c34cee945224e56110aa32952515b15f71263b03566846c16b8be18
wrn,L2,tinyimagenet,Ours,e15w207,2,66.8,47.21,training_and_full_aa_checked,866e2a9c1a12e80eae9b98e171fbdd1a13ac869967414e9d542f75dd540e0c2f
wrn,Linf,cifar10,Ours,w2c05,0,88.24,52.43,training_and_full_aa_checked,03cd48d428d5dff40728f85f7368f46e32a270663c15279920bc9041d413ca06
wrn,Linf,cifar10,Ours,w2c05,1,88.04,52.79,training_and_full_aa_checked,8125905816fd81e28b27213325438d78365b9109a80310a9926ddb5878e42bab
wrn,Linf,cifar10,Ours,w2c05,2,87.14,51.6,training_and_full_aa_checked,c1d4770e38e12be33806e7922a6566567b2c82086e1cbb5b6a3e9e09a014371a
wrn,Linf,cifar100,Ours,e15wi08,0,64.1,28.02,training_and_full_aa_checked,5fac58dfaca6a44c754e245e4bdbc9f8b978c492365be5c991a143dc04fc61c0
wrn,Linf,cifar100,Ours,e15wi08,1,65.34,27.59,training_and_full_aa_checked,e0232e1b17f2c31b2eacb21d1319afd16c26f488a324f9a1811855cb125528af
wrn,Linf,cifar100,Ours,e15wi08,2,64.13,26.97,training_and_full_aa_checked,99b80bd7ad43fd23a387072db3067656a55cd1917835347ddd702d3b03c0b92d
wrn,Linf,tinyimagenet,Ours,e15wt03,0,56.05,19.57,training_and_full_aa_checked,c54e3379c64272b48d2f6a3f611aa75e6ed1c6a83f8e8702270fc5d814d7ff98
wrn,Linf,tinyimagenet,Ours,e15wt03,1,55.9,19.35,training_and_full_aa_checked,03424d251fdcd6e8694a15d6a6c52c309a9e5908269f543782f62cdca24f2ff5
wrn,Linf,tinyimagenet,Ours,e15wt03,2,55.35,19.63,training_and_full_aa_checked,05a96e1632fc07ebc919bcfefd7b8e74ae317308624e37ea83d4f7fe5586e7db
